Project Name,URL,Stars,Last Push,Archived,Has POM,Has Gradle,Has Build XML,Recent Commits,likely_buildable
SmartBIPrototype,git://github.com/wei-wei/SmartBIPrototype.git,3,2012-05-10T04:31:10Z,False,False,False,False,False,False
BeeQueue,git://github.com/repshak/BeeQueue.git,2,2013-08-14T03:52:54Z,False,False,False,True,False,False
agetac-ng,git://github.com/gpolitis/agetac-ng.git,2,2012-04-04T11:21:14Z,True,False,False,False,False,False
zen-project,git://github.com/michelegonella/zen-project.git,2,2023-10-18T11:58:39Z,False,True,False,False,False,False
UK-Ejemplos,git://github.com/mateogo/UK-Ejemplos.git,2,2012-07-04T15:38:03Z,False,False,False,False,False,False
Cours-3eme-ann-e,git://github.com/RaphaelJ/Cours-3eme-ann-e.git,2,2012-09-23T19:27:13Z,False,False,False,False,False,False
HunApkNotifier,git://github.com/ReindeerMobile/HunApkNotifier.git,2,2012-04-15T17:06:12Z,False,False,False,False,False,False
jboss-aejb,git://github.com/wangjue1199/jboss-aejb.git,2,2012-05-31T05:58:44Z,False,True,False,False,False,False
see,git://github.com/xicmiah/see.git,2,2013-04-16T10:58:20Z,False,True,False,False,False,False
gansenbang,git://github.com/gansenbang/gansenbang.git,2,2012-05-05T14:38:32Z,False,False,False,False,False,False
jge3d,git://github.com/Mooble/jge3d.git,2,2013-04-01T17:54:30Z,False,False,False,True,False,False
BMach,git://github.com/cyberpython/BMach.git,2,2012-12-17T17:31:56Z,False,False,False,True,False,False
Client,git://github.com/koflem0/Client.git,2,2012-06-15T05:26:13Z,False,False,False,False,False,False
osate2-core,git://github.com/osate/osate2-core.git,1,2018-05-04T19:41:47Z,True,False,False,False,False,False
swp1-teamhub,git://github.com/neonsamurai/swp1-teamhub.git,1,2012-06-13T07:49:57Z,False,False,False,False,False,False
ChenSun,git://github.com/ms969/ChenSun.git,1,2018-06-28T08:51:01Z,False,False,False,False,False,False
WhartonEventScheduler,git://github.com/databanana/WhartonEventScheduler.git,1,2012-04-09T18:38:52Z,False,False,False,False,False,False
pizzaapp,git://github.com/franzmathauser/pizzaapp.git,1,2012-06-27T07:26:17Z,False,False,False,False,False,False
protogrid,git://github.com/brweber2/protogrid.git,1,2011-04-18T01:56:20Z,False,True,False,False,False,False
brightroom,git://github.com/thrasher/brightroom.git,1,2020-10-27T16:30:15Z,False,True,False,False,False,False
bio_quiz,git://github.com/Welliton309/bio_quiz.git,1,2012-05-31T12:58:25Z,True,False,False,False,False,False
de-webapp,git://github.com/iPlantCollaborativeOpenSource/de-webapp.git,1,2021-05-12T00:19:14Z,True,True,False,False,False,False
pellet,git://github.com/ansell/pellet.git,1,2014-10-15T01:49:55Z,False,True,False,True,False,False
po-mindstorms,git://github.com/christophevg/po-mindstorms.git,0,,False,False,False,False,False,False
rt.equinox.p2,git://github.com/eclipse/rt.equinox.p2.git,0,,False,False,False,False,False,False
emf.compare,git://github.com/eclipse/emf.compare.git,0,,False,False,False,False,False,False
HMS,git://github.com/lucassaldanha/hms.git,0,,False,False,False,False,False,False
social_1,,0,,,,,,,False
BuildCraft,git://github.com/Maeyanie/BuildCraft.git,0,,False,False,False,False,False,False
crunch,git://github.com/cloudera/crunch.git,0,,False,False,False,False,False,False
rap,git://github.com/eclipse/rap.git,0,,False,False,False,False,False,False
A7B36ASS,git://github.com/DominikMostek/A7B36ASS.git,0,,False,False,False,False,False,False
dawn-third,git://github.com/DawnScience/dawn-third.git,0,2020-03-02T14:32:07Z,True,True,False,False,False,False
ju4pa,git://github.com/TeamApex/ju4pa.git,0,,False,False,False,False,False,False
SWE12-Drone,git://github.com/Catrobat/SWE12-Drone.git,0,,False,False,False,False,False,False
java-design-patterns-master,,0,,,,,,,False
eclipse.jdt.core,git://github.com/eclipse/eclipse.jdt.core.git,0,,False,False,False,False,False,False
JavaDesignPatternExercises,git://github.com/camille/JavaDesignPatternExercises.git,0,,False,False,False,False,False,False
molgenis_apps,git://github.com/molgenis/molgenis_apps.git,0,,False,False,False,False,False,False
nuxeo-tycho-osgi,git://github.com/intalio/nuxeo-tycho-osgi.git,0,,False,False,False,False,False,False
flume_1,,0,,,,,,,False
Mavenized-Wave-In-A-Box,git://github.com/rohit-tingendab/Mavenized-Wave-In-A-Box.git,0,,False,False,False,False,False,False
chute-android-components,git://github.com/chute/chute-android-components.git,0,,False,False,False,False,False,False
eclipse.platform.debug,git://github.com/eclipse/eclipse.platform.debug.git,0,,False,False,False,False,False,False
milton,git://github.com/miltonio/milton.git,0,,False,False,False,False,False,False
james,git://github.com/apache/james.git,0,,False,False,False,False,False,False
m2eclipse-extras,git://github.com/sonatype/m2eclipse-extras.git,0,,False,False,False,False,False,False
robo-remote,git://github.com/groupon/robo-remote.git,0,,False,False,False,False,False,False
SamyGo-Android-Remote,git://github.com/tomquist/SamyGo-Android-Remote.git,0,,False,False,False,False,False,False
Android_1,,0,,,,,,,False
LoL-Chat,git://github.com/robisaks/LoL-Chat.git,0,,False,False,False,False,False,False
maven-cuke4duke-jump-start,git://github.com/jamesladd/maven-cuke4duke-jump-start.git,0,,False,False,False,False,False,False
ocl,git://github.com/eclipse/ocl.git,0,,False,False,False,False,False,False
console_1,,0,,,,,,,False
Java-Design-Patterns,git://github.com/moleksyuk/Java-Design-Patterns.git,0,,False,False,False,False,False,False
3taps-Java-Client,git://github.com/3taps/3taps-Java-Client.git,0,,False,False,False,False,False,False
Mobile-Tour-Guide,git://github.com/scottandrus/Mobile-Tour-Guide.git,0,,False,False,False,False,False,False
eclipse.jdt.ui,git://github.com/eclipse/eclipse.jdt.ui.git,0,,False,False,False,False,False,False
mitfahrzentraleClient,git://github.com/slemke/mitfahrzentraleClient.git,0,,False,False,False,False,False,False
clusterbench,git://github.com/rhusar/clusterbench.git,0,2026-03-18T15:02:05Z,False,True,False,False,True,True
pcgen-svn,git://github.com/pcgen/pcgen-svn.git,0,,False,False,False,False,False,False
TapIt-Android-SDK-Source,git://github.com/tapit/TapIt-Android-SDK-Source.git,0,,False,False,False,False,False,False
geotoolkit-pending,git://github.com/desruisseaux/geotoolkit-pending.git,0,,False,False,False,False,False,False
computercraft-spout,git://github.com/robbietjuh/computercraft-spout.git,0,2012-05-22T19:55:49Z,False,False,False,False,False,False
Lord-of-Ultima-Manager,git://github.com/avalutions/Lord-of-Ultima-Manager.git,0,,False,False,False,False,False,False
maven-3,git://github.com/apache/maven-3.git,0,,False,False,False,False,False,False
DimSim,git://github.com/mattwilmott/DimSim.git,0,,False,False,False,False,False,False
refactoring_guru,,0,,,,,,,False
freemind,git://github.com/derekerdmann/freemind.git,0,,False,False,False,False,False,False
android-rackspacecloud,git://github.com/rackspace/android-rackspacecloud.git,0,,False,False,False,False,False,False
kodejava,git://github.com/wsaryada/kodejava.git,0,,False,False,False,False,False,False
sablecc,git://github.com/egagnon/sablecc.git,0,2017-08-07T16:21:00Z,False,False,False,False,False,False
accent,git://github.com/lshift/accent.git,0,,False,False,False,False,False,False
eclipse.platform.ui,git://github.com/eclipse/eclipse.platform.ui.git,0,,False,False,False,False,False,False
cdo,git://github.com/eclipse/cdo.git,0,,False,False,False,False,False,False
tomcat70,git://github.com/apache/tomcat70.git,0,,False,False,False,False,False,False
frostwire-desktop,git://github.com/frostwire/frostwire-desktop.git,0,,False,False,False,False,False,False
Akka-JavaEE6-Integracia,git://github.com/bogartibor/Akka-JavaEE6-Integracia.git,0,,False,False,False,False,False,False
