id,recall,precision,f1_score,human_review_count,first_file_precision,first_file_recall,tp_starting_file,tp_sec_files,fp_starting_file,fp_sec_files,count_acc_starting_file,count_acc_secondary_files,count_rej_starting_file,count_rej_secondary_files,tp_count,oracle_count,fp_count,human_rejected_count
941,0.666667,0.333333,0.444444,6,1.0,2.0,4,0,0,0,3,0,0,4,2,3,0,4
942,1.0,0.25,0.4,4,0.0,0,0,3,1,0,1,1,1,2,3,3,1,3
947,0,0.0,0.0,19,0,0,0,0,0,0,1,0,1,18,0,4,0,19
948,0.833333,0.384615,0.526316,13,0,0,0,5,0,0,1,5,1,7,5,6,0,8
954,1.0,0.333333,0.5,3,0.0,0,0,5,1,61,1,1,2,0,5,5,62,2
961,1.0,0.25,0.4,4,1.0,0,1,3,0,0,1,1,0,3,4,4,0,3
962,0,0.0,0.0,6,0,0.0,0,0,0,0,1,0,0,6,0,28,0,6
963,0.0625,0.0,0.0,3,1.0,0,1,0,0,0,1,0,0,3,1,16,0,3
966,0.666667,0.0,0.0,4,1.0,0,2,0,0,0,1,0,0,4,2,3,0,4
974,1.0,0.454545,0.625,11,1.0,2.0,10,0,0,0,6,0,3,3,5,5,0,6
975,1.0,0.181818,0.307692,11,1.0,0,1,13,0,4,1,2,2,7,14,14,4,9
976,0.5,1.0,0.666667,1,1.0,3.0,3,0,0,0,2,0,0,0,2,4,0,0
977,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0
982,1.0,0.727273,0.842105,11,0,0,0,8,0,0,1,8,0,3,8,8,0,3
984,1.0,0.571429,0.727273,7,0,0,0,3,0,1,2,3,0,3,3,3,1,3
991,1.0,0.666667,0.8,3,1.0,0,2,2,0,0,1,2,0,1,4,4,0,1
996,1.0,0.125,0.222222,8,0,0,0,3,0,14,1,1,1,6,3,3,14,7
1004,0.333333,1.0,0.5,2,1.0,0,1,2,0,0,1,2,0,0,3,9,0,0
1005,0.4375,0.666667,0.528302,9,1.0,2.0,14,0,0,0,7,0,0,3,7,16,0,3
1008,0.033333,1.0,0.064516,1,0,0,0,1,0,0,1,1,0,0,1,30,0,0
1009,0.25,0.25,0.25,4,1.0,2.0,2,0,0,0,2,0,3,0,1,4,0,3
1010,0.142857,0.125,0.133333,8,1.0,0.5,2,0,0,0,2,0,3,4,1,7,0,7
1011,1.0,0.4,0.571429,30,1.0,2.0,14,5,0,4,8,5,3,15,12,12,4,18
1014,0.333333,0.142857,0.2,7,1.0,2.0,2,0,0,0,2,0,6,0,1,3,0,6
1018,1.0,0.875,0.933333,8,0.875,2.0,14,0,2,0,8,0,1,0,7,7,1,1
1019,1.0,0.666667,0.8,9,0.8,2.0,12,0,3,0,7,0,3,0,6,6,2,3
1022,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,4,0,0
1023,0.333333,0.0,0.0,4,1.0,0.6666666666666666,2,0,0,0,1,0,3,1,1,3,0,4
1026,0.666667,0.5,0.571429,4,1.0,1.3333333333333333,4,0,0,0,3,0,2,0,2,3,0,2
1030,0.571429,0.333333,0.421053,18,0,0,0,4,0,0,1,6,0,12,4,7,0,12
1031,0.666667,0.25,0.363636,8,0,0,0,2,0,0,1,2,0,6,2,3,0,6
1032,0,1.0,0.0,1,0.0,0,0,0,3,0,2,0,0,0,0,4,2,0
1041,0,0.0,0.0,3,0,0.0,0,0,0,0,1,0,3,0,0,3,0,3
1042,0.066667,0.5,0.117647,4,0,0,0,2,0,0,1,2,0,2,2,30,0,2
1056,0,0.0,0.0,3,0,0.0,0,0,0,0,1,0,1,2,0,10,0,3
1060,0.3,0.444444,0.358209,9,0.8,1.3333333333333333,4,1,1,0,4,1,1,4,3,10,1,5
1062,0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,3,0,1
1068,0.3,1.0,0.461538,2,1.0,0,1,2,0,0,1,2,0,0,3,10,0,0
1070,1.0,0.210526,0.347826,19,1.0,2.0,10,0,0,0,5,0,0,15,5,5,0,15
1071,1.0,1.0,1.0,8,0,0,0,8,0,0,1,8,0,0,8,8,0,0
1072,0,0.0,0.0,23,0,0,0,0,0,0,1,0,5,18,0,3,0,23
1075,0.636364,0.5,0.56,14,0.8461538461538461,1.5714285714285714,11,0,2,0,5,3,5,2,7,11,1,7
1077,1.0,0.136364,0.24,22,0,0,0,3,0,0,1,3,1,18,3,3,0,19
