Batch,File,Repository,Commit SHA,Refactoring Type,Description
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable,Rename Variable myInstanceNotifiable : MyInstanceNotifiable to myInstanceListener : MyInstanceListener in method public testRequestReleaseDestroyInstanceAndHeartBeat() : void from class eu.stratosphere.nephele.instance.cloud.CloudManagerTest
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable,"Rename Variable jobNotifiables : List<ProfilingNotifiable> to jobListeners : List<ProfilingListener> in method private dispatchThreadData(timestamp long, profilingData InternalExecutionVertexThreadProfilingData) : void from class eu.stratosphere.nephele.profiling.impl.JobManagerProfilerImpl"
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable,"Rename Variable jobNotifiables : List<ProfilingNotifiable> to jobListeners : List<ProfilingListener> in method private dispatchInstanceData(timestamp long, profilingData InternalInstanceProfilingData) : void from class eu.stratosphere.nephele.profiling.impl.JobManagerProfilerImpl"
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable,"Rename Variable notifiableIterator : Iterator<ProfilingNotifiable> to listenerIterator : Iterator<ProfilingListener> in method private dispatchInstanceData(timestamp long, profilingData InternalInstanceProfilingData) : void from class eu.stratosphere.nephele.profiling.impl.JobManagerProfilerImpl"
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable,"Rename Variable profilingNotifiable : ProfilingNotifiable to profilingListener : ProfilingListener in method private dispatchInstanceData(timestamp long, profilingData InternalInstanceProfilingData) : void from class eu.stratosphere.nephele.profiling.impl.JobManagerProfilerImpl"
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable,"Rename Variable jobNotifiables : List<ProfilingNotifiable> to jobListeners : List<ProfilingListener> in method private dispatchInputGateData(timestamp long, profilingData InternalInputGateProfilingData) : void from class eu.stratosphere.nephele.profiling.impl.JobManagerProfilerImpl"
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable,"Rename Variable jobNotifiables : List<ProfilingNotifiable> to jobListeners : List<ProfilingListener> in method private dispatchOutputGateData(timestamp long, profilingData InternalOutputGateProfilingData) : void from class eu.stratosphere.nephele.profiling.impl.JobManagerProfilerImpl"
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable,"Rename Variable jobNotifiables : List<ProfilingNotifiable> to jobListeners : List<ProfilingListener> in method public registerForProfilingData(jobID JobID, profilingListener ProfilingListener) : void from class eu.stratosphere.nephele.profiling.impl.JobManagerProfilerImpl"
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Parameter,"Rename Parameter profilingNotifiable : ProfilingNotifiable to profilingListener : ProfilingListener in method public registerForProfilingData(jobID JobID, profilingListener ProfilingListener) : void from class eu.stratosphere.nephele.profiling.impl.JobManagerProfilerImpl"
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,33eda2a6ab654e501c149adf8810cef83e3491e7,Rename Variable,"Rename Variable jobNotifiables : List<ProfilingNotifiable> to jobListeners : List<ProfilingListener> in method public unregisterFromProfilingData(jobID JobID, profilingListener ProfilingListener) : void from class eu.stratosphere.nephele.profiling.impl.JobManagerProfilerImpl"
