Batch,File,Repository,Commit SHA,Description,is_pure_rename
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,a3c110c6cb67b871630d3b94a56b6516e8476b07,Rename Variable conf2 : Configuration to copy : Configuration in method public testConfigurationSerialization() : void from class eu.stratosphere.nephele.configuration.ConfigurationTest,Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,a3c110c6cb67b871630d3b94a56b6516e8476b07,Rename Variable conffile1 : File to confFile1 : File in method public testConfigurationXML() : void from class eu.stratosphere.nephele.configuration.GlobalConfigurationTest,Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,a3c110c6cb67b871630d3b94a56b6516e8476b07,Rename Variable conffile2 : File to confFile2 : File in method public testConfigurationXML() : void from class eu.stratosphere.nephele.configuration.GlobalConfigurationTest,Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,a3c110c6cb67b871630d3b94a56b6516e8476b07,Rename Variable e1 : FileNotFoundException to e : FileNotFoundException in method public testConfigurationXML() : void from class eu.stratosphere.nephele.configuration.GlobalConfigurationTest,Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,e2291d4ffcd7b60512dd604d945bb65cbbcecac7,"Rename Variable urlKey : PactString to url : PactString in method protected map(key PactString, rankRecord Tuple, out Collector<PactString,Tuple>) : void from class eu.stratosphere.pact.example.relational.WebLogAnalysis.FilterRanks",Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,2f5f706bbde9421e93b668214fcf90ba8568567f,Rename Variable curr : int to i : int in method private readLine() : byte[] from class eu.stratosphere.pact.common.io.TextInputFormat,Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,ca197e6d6517d01c6b1afce7ccf14dbb8bfa4cdd,Rename Variable instanceType : InstanceType to type : InstanceType in method public testGetVerticesReadyToBeExecuted() : void from class eu.stratosphere.nephele.jobmanager.scheduler.queue.QueueSchedulerTest,Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,ca197e6d6517d01c6b1afce7ccf14dbb8bfa4cdd,"Rename Variable map : HashMap<InstanceType,Integer> to requiredInstanceTypes : HashMap<InstanceType,Integer> in method public testGetVerticesReadyToBeExecuted() : void from class eu.stratosphere.nephele.jobmanager.scheduler.queue.QueueSchedulerTest",Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,d5dd8af1e71599656b167bec0a1ddaa05102ff69,Rename Variable numberOfChannels : boolean[] to numberOfOutputChannels : int in method public channelSelect() : void from class eu.stratosphere.nephele.io.DefaultChannelSelectorTest,No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,1f6e9fc90330e42be9bde1b1bbe2fa01c299e256,"Rename Variable sum : int to cnt : int in method public reduce(key PactInteger, values Iterator<PactInteger>, out Collector<PactInteger,PactInteger>) : void from class eu.stratosphere.pact.runtime.task.ReduceTaskTest.MockReduceStub",Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,1f6e9fc90330e42be9bde1b1bbe2fa01c299e256,Rename Variable sum : int to expSum : int in method public testCombiningReduceTask() : void from class eu.stratosphere.pact.runtime.task.ReduceTaskTest,Yes
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,1f6e9fc90330e42be9bde1b1bbe2fa01c299e256,Rename Variable inKeys : int[] to keyCnt : int in method public testReduceTask() : void from class eu.stratosphere.pact.runtime.task.ReduceTaskTest,No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,1f6e9fc90330e42be9bde1b1bbe2fa01c299e256,Rename Variable inVals : int[] to valCnt : int in method public testReduceTask() : void from class eu.stratosphere.pact.runtime.task.ReduceTaskTest,No
batch_0,refactoring_3b88e30_37c3b03.json,https://github.com/apache/flink.git,1f6e9fc90330e42be9bde1b1bbe2fa01c299e256,Rename Variable inKeys : int[] to keyCnt : int in method public testCombiningReduceTask() : void from class eu.stratosphere.pact.runtime.task.ReduceTaskTest,No
