commit,old_name,new_name,type,coRename,line_number,file_path
65c231eada9320570000bd17c11a14059e7143ea,factionFame,factionRegard,Rename Parameter,0,406,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStanding/FactionStandingReport.java
65c231eada9320570000bd17c11a14059e7143ea,factionFame,factionRegard,Rename Parameter,0,452,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStanding/FactionStandingReport.java
65c231eada9320570000bd17c11a14059e7143ea,politicalFame,climateRegard,Rename Variable,1,345,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStanding/FactionStandingReport.java
65c231eada9320570000bd17c11a14059e7143ea,politicalFame,climateRegard,Rename Variable,1,345,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStanding/FactionStandingReport.java
65c231eada9320570000bd17c11a14059e7143ea,politicsValue,climateValue,Rename Parameter,3,56,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStanding/FactionStandingSlider.java
65c231eada9320570000bd17c11a14059e7143ea,politicsValue,climateValue,Rename Attribute,3,54,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStanding/FactionStandingSlider.java
65c231eada9320570000bd17c11a14059e7143ea,politicsValue,climateValue,Rename Parameter,3,56,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStanding/FactionStandingSlider.java
65c231eada9320570000bd17c11a14059e7143ea,politicsValue,climateValue,Rename Attribute,3,54,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStanding/FactionStandingSlider.java
65c231eada9320570000bd17c11a14059e7143ea,politicsX,climateX,Rename Variable,3,84,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStanding/FactionStandingSlider.java
65c231eada9320570000bd17c11a14059e7143ea,politicsX,climateX,Rename Variable,3,84,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStanding/FactionStandingSlider.java
65c231eada9320570000bd17c11a14059e7143ea,g2,graphics2D,Rename Variable,3,65,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStanding/FactionStandingSlider.java
65c231eada9320570000bd17c11a14059e7143ea,g2,graphics2D,Rename Variable,3,91,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStanding/FactionStandingSlider.java
65c231eada9320570000bd17c11a14059e7143ea,g2,graphics2D,Rename Variable,3,65,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStanding/FactionStandingSlider.java
65c231eada9320570000bd17c11a14059e7143ea,g2,graphics2D,Rename Variable,3,91,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStanding/FactionStandingSlider.java
65c231eada9320570000bd17c11a14059e7143ea,sldFame,sldRegard,Rename Variable,4,377,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStanding/FactionStandingReport.java
65c231eada9320570000bd17c11a14059e7143ea,sldFame,sldRegard,Rename Variable,4,377,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStanding/FactionStandingReport.java
65c231eada9320570000bd17c11a14059e7143ea,fameValue,regardValue,Rename Parameter,5,56,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStanding/FactionStandingSlider.java
65c231eada9320570000bd17c11a14059e7143ea,fameValue,regardValue,Rename Parameter,5,56,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStanding/FactionStandingSlider.java
65c231eada9320570000bd17c11a14059e7143ea,g,graphics,Rename Parameter,6,64,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStanding/FactionStandingSlider.java
65c231eada9320570000bd17c11a14059e7143ea,g,graphics,Rename Parameter,6,64,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStanding/FactionStandingSlider.java
65c231eada9320570000bd17c11a14059e7143ea,fameX,regardX,Rename Variable,7,83,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStanding/FactionStandingSlider.java
65c231eada9320570000bd17c11a14059e7143ea,fameX,regardX,Rename Variable,7,83,MekHQ/src/mekhq/gui/dialog/reportDialogs/FactionStanding/FactionStandingSlider.java
